enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,experience_numeric,last_new_job_numeric,company_size_numeric,experience_group,city_development_group,training_hours_group,has_relevant_experience_binary,is_currently_enrolled,company_known_flag,education_rank,job_mobility_score,experience_to_training_ratio,city_experience_interaction,low_city_development_flag,high_training_flag,senior_experience_flag,unknown_company_info_flag
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,1,36,1,21.0,1.0,300.0,Expert,Very High,Medium,1,0,0,3,10.5,1.6363636363636365,19.32,0,0,1,1
29725,city_40,0.776,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0,15.0,5.0,75.0,Senior,High,Medium,0,0,1,3,2.5,2.9375,11.64,0,0,1,0
11561,city_21,0.624,Unknown,No relevent experience,Full time course,Graduate,STEM,5,Unknown,Unknown,never,83,0,5.0,0.0,300.0,Junior,Medium,High,0,1,0,3,5.0,13.833333333333334,3.12,0,0,0,1
33241,city_115,0.789,Unknown,No relevent experience,Unknown,Graduate,Business Degree,<1,Unknown,Pvt Ltd,never,52,1,0.5,0.0,300.0,Fresher,High,High,0,0,0,3,0.5,34.666666666666664,0.3945,0,0,0,1
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0,21.0,4.0,75.0,Expert,High,Low,1,0,1,4,4.2,0.36363636363636365,16.107,0,0,1,0
21651,city_176,0.764,Unknown,Has relevent experience,Part time course,Graduate,STEM,11,Unknown,Unknown,1,24,1,11.0,1.0,300.0,Senior,High,Medium,1,1,0,3,5.5,2.0,8.404,0,0,1,1
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,Unknown,5,50-99,Funded Startup,1,24,0,5.0,1.0,75.0,Junior,Very High,Medium,1,0,1,2,2.5,4.0,4.6000000000000005,0,0,0,0
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1,13.0,5.0,5.0,Senior,High,Low,1,0,1,3,2.1666666666666665,1.2857142857142858,9.906,0,0,1,0
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1,7.0,1.0,75.0,Mid,Very High,Medium,1,0,1,3,3.5,5.75,6.44,0,0,0,0
699,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0,17.0,5.0,10000.0,Expert,Very High,Very High,1,0,1,3,2.8333333333333335,6.833333333333333,15.64,0,1,1,0
